date,value
Tue Mar 13 2018 17:45:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:45:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:15 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:16 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:17 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:18 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:18 GMT-0500 (EST),478
Tue Mar 13 2018 17:47:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:19 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:20 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:21 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:22 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:23 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:24 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:25 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:26 GMT-0500 (EST),478
Tue Mar 13 2018 17:47:26 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:27 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:28 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:29 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:30 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:31 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:32 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:33 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:34 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:35 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:36 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:37 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:38 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:39 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:40 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:41 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:42 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:44 GMT-0500 (EST),477
